Financial Ratio Edge Cases
============================================================

ABB Dec 2012 | ROE Difference = 12.49%
TCS Mar 2023 | ROE Difference = 46.26%
TCS Mar 2024 | ROE Difference = 50.42%
TECHM Mar 2013 | ROE Difference = 15.46%
TECHM Mar 2013 | ROCE Difference = 8.99%
TECHM Mar 2014 | ROE Difference = 24.72%
TECHM Mar 2014 | ROCE Difference = 31.81%
TECHM Mar 2015 | ROE Difference = 13.08%
TECHM Mar 2015 | ROCE Difference = 20.48%
TECHM Mar 2016 | ROE Difference = 12.12%
TECHM Mar 2016 | ROCE Difference = 15.26%
TECHM Mar 2017 | ROE Difference = 8.72%
TECHM Mar 2017 | ROCE Difference = 11.60%
TECHM Mar 2018 | ROE Difference = 11.46%
TECHM Mar 2018 | ROCE Difference = 10.28%
TECHM Mar 2019 | ROE Difference = 12.51%
TECHM Mar 2019 | ROCE Difference = 16.25%
TECHM Mar 2020 | ROE Difference = 9.24%
TECHM Mar 2020 | ROCE Difference = 9.69%
TECHM Mar 2021 | ROE Difference = 8.88%
TECHM Mar 2021 | ROCE Difference = 12.58%
TECHM Mar 2022 | ROE Difference = 12.31%
TECHM Mar 2022 | ROCE Difference = 15.28%
TECHM Mar 2023 | ROE Difference = 8.76%
TECHM Mar 2023 | ROCE Difference = 13.42%
TITAN Mar 2013 | ROCE Difference = 28.77%
TITAN Mar 2014 | ROCE Difference = 8.74%
TITAN Mar 2015 | ROE Difference = 6.44%
TITAN Mar 2015 | ROCE Difference = 13.51%
TITAN Mar 2016 | ROE Difference = 13.65%
TITAN Mar 2017 | ROE Difference = 16.43%
TITAN Mar 2018 | ROE Difference = 11.25%
TITAN Mar 2019 | ROE Difference = 10.02%
TITAN Mar 2020 | ROE Difference = 10.51%
TITAN Mar 2021 | ROE Difference = 19.91%
TITAN Mar 2021 | ROCE Difference = 9.57%
TITAN Mar 2022 | ROE Difference = 9.27%
TITAN Mar 2023 | ROE Difference = 5.27%
TORNTPHARM Mar 2013 | ROE Difference = 6.39%
TORNTPHARM Mar 2013 | ROCE Difference = 9.76%
TORNTPHARM Mar 2014 | ROE Difference = 10.69%
TORNTPHARM Mar 2014 | ROCE Difference = 8.27%
TORNTPHARM Mar 2015 | ROE Difference = 5.95%
TORNTPHARM Mar 2016 | ROE Difference = 25.40%
TORNTPHARM Mar 2016 | ROCE Difference = 23.55%
TORNTPHARM Mar 2018 | ROE Difference = 9.53%
TORNTPHARM Mar 2018 | ROCE Difference = 11.03%
TORNTPHARM Mar 2019 | ROE Difference = 14.97%
TORNTPHARM Mar 2022 | ROE Difference = 11.15%
TORNTPHARM Mar 2024 | ROCE Difference = 7.76%
TRENT Mar 2013 | ROE Difference = 29.39%
TRENT Mar 2013 | ROCE Difference = 23.48%
TRENT Mar 2014 | ROE Difference = 29.12%
TRENT Mar 2014 | ROCE Difference = 24.56%
TRENT Mar 2015 | ROE Difference = 18.13%
TRENT Mar 2015 | ROCE Difference = 18.59%
TRENT Mar 2016 | ROE Difference = 23.44%
TRENT Mar 2016 | ROCE Difference = 18.97%
TRENT Mar 2017 | ROE Difference = 21.71%
TRENT Mar 2017 | ROCE Difference = 16.89%
TRENT Mar 2018 | ROE Difference = 21.75%
TRENT Mar 2018 | ROCE Difference = 13.33%
TRENT Mar 2019 | ROE Difference = 21.43%
TRENT Mar 2019 | ROCE Difference = 12.54%
TRENT Mar 2020 | ROE Difference = 22.76%
TRENT Mar 2021 | ROE Difference = 35.03%
TRENT Mar 2021 | ROCE Difference = 19.44%
TRENT Mar 2022 | ROE Difference = 25.72%
TRENT Mar 2022 | ROCE Difference = 15.41%
TRENT Mar 2023 | ROE Difference = 12.02%
TRENT Mar 2023 | ROCE Difference = 8.02%
TRENT Mar 2024 | ROE Difference = 9.11%
TRENT Mar 2024 | ROCE Difference = 10.06%
INDIGO Mar 2013 | ROCE Difference = 54183.29%
INDIGO Mar 2014 | ROCE Difference = 58040.72%
INDIGO Mar 2015 | ROCE Difference = 39521.55%
INDIGO Mar 2016 | ROCE Difference = 9419.46%
INDIGO Mar 2017 | ROCE Difference = 10883.50%
INDIGO Mar 2018 | ROCE Difference = 12956.67%
INDIGO Mar 2019 | ROCE Difference = 13177.34%
INDIGO Mar 2020 | ROCE Difference = 12450.70%
INDIGO Mar 2021 | ROCE Difference = 2530.12%
INDIGO Mar 2022 | ROCE Difference = 3808.28%
INDIGO Mar 2023 | ROCE Difference = 6049.77%
INDIGO Mar 2024 | ROCE Difference = 5616.38%
